STOCK: AOT PRICE: 67.25 BATH UPDATE:20/03/2021 03:19:56,67.25
STOCK: CPALL PRICE: 66.0 BATH UPDATE:20/03/2021 03:19:56,66.0
STOCK: GPSC PRICE: 74.5 BATH UPDATE:20/03/2021 03:19:56,74.5
STOCK: GULF PRICE: 33.5 BATH UPDATE:20/03/2021 03:19:56,33.5
STOCK: BBL PRICE: 126.5 BATH UPDATE:20/03/2021 03:19:56,126.5
